id,Primary Color,Secondary Color,Additional Color
1610612737,#E03A3E,#C1D32F,#26282A
1610612738,#007A33,#BA9653,#963821
1610612751,#000000,#FFFFFF,
1610612766,#1D1160,#00788C,#A1A1A4
1610612741,#CE1141,#000000,
1610612739,#860038,#FDBB30,#041E42
1610612742,#00538C,#B8C4CA,#002B5E
1610612743,#0E2240,#FEC524,#8B2131
1610612765,#C8102E,#1D42BA,#BEC0C2
1610612744,#1D428A,#FFC72C,#26282A
1610612745,#CE1141,#C4CED4,
1610612754,#002D62,#FDBB30,#BEC0C2
1610612746,#C8102E,#1D428A,#BEC0C2
1610612747,#552583,#f9a01b,#000000
1610612763,#5D76A9,#12173F,#F5B112
1610612748,#98002E,#F9A01B,#000000
1610612749,#00471B,#EEE1C6,#0077C0
1610612750,#0C2340,#236192,#9EA2A2
1610612740,#0C2340,#C8102E,#85714D
1610612752,#006BB6,#F58426,#BEC0C2
1610612760,#007AC1,#EF3B24,#002D62
1610612753,#0077C0,#C4CED4,#000000
1610612755,#006BB6,#ED174C,#002B5C
1610612756,#1D1160,#E56020,#63727A
1610612757,#E03A3E,#000000,#BEC0C2
1610612758,#5A2D81,#63727A,#000000
1610612759,#C4CED4,#000000,
1610612761,#CE1141,#000000,#A1A1A4
1610612762,#002B5C,#00471B,#F9A01B
1610612764,#002B5C,#E31837,#C4CED4
